Activity type,Duration,From,To,Comment
Internet,0:07,7/20/2021 19:07,7/20/2021 19:14,
Thesis,0:29,7/20/2021 18:37,7/20/2021 19:07,
Admin,0:21,7/20/2021 18:15,7/20/2021 18:37,
Housework,0:12,7/20/2021 18:03,7/20/2021 18:15,
Thesis,0:11,7/20/2021 17:51,7/20/2021 18:03,
Sleep-ternet,0:38,7/20/2021 17:13,7/20/2021 17:51,
Nap,0:00,7/20/2021 17:12,7/20/2021 17:13,
Admin,0:02,7/20/2021 17:10,7/20/2021 17:12,
Thesis,1:35,7/20/2021 15:34,7/20/2021 17:10,
Makin'/Fixin',0:55,7/20/2021 14:38,7/20/2021 15:34,
Gaming,0:16,7/20/2021 14:22,7/20/2021 14:38,
Internet,0:02,7/20/2021 14:19,7/20/2021 14:22,
Thesis,0:13,7/20/2021 14:05,7/20/2021 14:19,
"""Reading""",0:11,7/20/2021 13:54,7/20/2021 14:05,
Sleep,0:00,7/20/2021 13:54,7/20/2021 13:54,
"""Reading""",0:05,7/20/2021 13:49,7/20/2021 13:54,
Thesis,0:36,7/20/2021 13:12,7/20/2021 13:49,
Getting Ready,0:06,7/20/2021 13:05,7/20/2021 13:12,
"""Reading""",0:03,7/20/2021 13:02,7/20/2021 13:05,
Housework,0:13,7/20/2021 12:48,7/20/2021 13:02,
Internet,0:10,7/20/2021 12:37,7/20/2021 12:48,
Eat,0:02,7/20/2021 12:35,7/20/2021 12:37,
Housework,0:01,7/20/2021 12:34,7/20/2021 12:35,
Eat,0:13,7/20/2021 12:20,7/20/2021 12:34,
Housework,0:12,7/20/2021 12:08,7/20/2021 12:20,
Internet,0:09,7/20/2021 11:58,7/20/2021 12:08,
Doc,0:58,7/20/2021 11:00,7/20/2021 11:58,
Internet,1:00,7/20/2021 10:00,7/20/2021 11:00,
Work,0:40,7/20/2021 9:20,7/20/2021 10:00,
Eat,0:19,7/20/2021 9:00,7/20/2021 9:20,
Meeting,1:30,7/20/2021 7:30,7/20/2021 9:00,
Thesis,0:30,7/20/2021 7:00,7/20/2021 7:30,
Sleep-ternet,0:14,7/20/2021 6:45,7/20/2021 7:00,
Sleep,7:04,7/19/2021 23:40,7/20/2021 6:45,
Sleep-ternet,0:42,7/19/2021 22:57,7/19/2021 23:40,
Thesis,0:37,7/19/2021 22:20,7/19/2021 22:57,
Eat,0:37,7/19/2021 21:42,7/19/2021 22:20,
Shop,0:25,7/19/2021 21:17,7/19/2021 21:42,
Transport,0:23,7/19/2021 20:54,7/19/2021 21:17,
Internet,0:54,7/19/2021 20:00,7/19/2021 20:54,
Thesis,1:45,7/19/2021 18:15,7/19/2021 20:00,
"""Reading""",0:17,7/19/2021 17:57,7/19/2021 18:15,
Friends,0:00,7/19/2021 17:57,7/19/2021 17:57,
Thesis,0:26,7/19/2021 17:31,7/19/2021 17:57,
Gaming,0:09,7/19/2021 17:21,7/19/2021 17:31,
Eat,0:20,7/19/2021 17:01,7/19/2021 17:21,
Internet,0:25,7/19/2021 16:36,7/19/2021 17:01,
Makin'/Fixin',0:17,7/19/2021 16:18,7/19/2021 16:36,
Thesis,0:02,7/19/2021 16:16,7/19/2021 16:18,
Gaming,0:35,7/19/2021 15:41,7/19/2021 16:16,
Getting Ready,0:39,7/19/2021 15:01,7/19/2021 15:41,
Sleep-ternet,1:16,7/19/2021 13:45,7/19/2021 15:01,
Friends,0:11,7/19/2021 13:33,7/19/2021 13:45,
Gaming,0:12,7/19/2021 13:21,7/19/2021 13:33,
Internet,0:18,7/19/2021 13:02,7/19/2021 13:21,
Gaming,0:20,7/19/2021 12:42,7/19/2021 13:02,
Internet,0:22,7/19/2021 12:19,7/19/2021 12:42,
Makin'/Fixin',0:14,7/19/2021 12:05,7/19/2021 12:19,
Housework,0:33,7/19/2021 11:32,7/19/2021 12:05,
Eat,0:20,7/19/2021 11:11,7/19/2021 11:32,
Gaming,0:33,7/19/2021 10:38,7/19/2021 11:11,
Eat,0:29,7/19/2021 10:08,7/19/2021 10:38,
Sleep-ternet,0:30,7/19/2021 9:37,7/19/2021 10:08,
Sleep,1:07,7/19/2021 8:30,7/19/2021 9:37,
Sleep-ternet,1:00,7/19/2021 7:30,7/19/2021 8:30,
Sleep,7:15,7/19/2021 0:14,7/19/2021 7:30,
Thesis,0:44,7/18/2021 23:30,7/19/2021 0:14,
Shop,0:25,7/18/2021 23:05,7/18/2021 23:30,
Transport,0:20,7/18/2021 22:45,7/18/2021 23:05,
Internet,1:13,7/18/2021 21:31,7/18/2021 22:45,
Gaming,0:32,7/18/2021 20:58,7/18/2021 21:31,
Internet,0:20,7/18/2021 20:37,7/18/2021 20:58,
Thesis,0:56,7/18/2021 19:40,7/18/2021 20:37,
Admin,0:00,7/18/2021 19:40,7/18/2021 19:40,
Internet,0:20,7/18/2021 19:20,7/18/2021 19:40,
"""Reading""",0:18,7/18/2021 19:01,7/18/2021 19:20,
Thesis,0:07,7/18/2021 18:54,7/18/2021 19:01,
Gaming,0:16,7/18/2021 18:37,7/18/2021 18:54,
Thesis,0:25,7/18/2021 18:12,7/18/2021 18:37,
Eat,0:23,7/18/2021 17:49,7/18/2021 18:12,
Thesis,0:10,7/18/2021 17:39,7/18/2021 17:49,
Gaming,1:08,7/18/2021 16:30,7/18/2021 17:39,
Housework,0:07,7/18/2021 16:23,7/18/2021 16:30,
Internet,0:52,7/18/2021 15:30,7/18/2021 16:23,
Friends,0:30,7/18/2021 15:00,7/18/2021 15:30,
Thesis,1:00,7/18/2021 13:59,7/18/2021 15:00,
Internet,0:59,7/18/2021 13:00,7/18/2021 13:59,
Shop,0:25,7/18/2021 12:35,7/18/2021 13:00,
Transport,0:20,7/18/2021 12:15,7/18/2021 12:35,
Eat,0:15,7/18/2021 12:00,7/18/2021 12:15,
Thesis,0:30,7/18/2021 11:30,7/18/2021 12:00,
Getting Ready,0:28,7/18/2021 11:01,7/18/2021 11:30,
Sleep-ternet,0:36,7/18/2021 10:25,7/18/2021 11:01,
Sleep,8:40,7/18/2021 1:45,7/18/2021 10:25,
